population,scenario,date,estimate,lower,upper,averted,averted_lower,averted_upper,cume_averted,cume_averted_lower,cume_averted_upper,scenario_cat
pregnant,vaccine15,2024-04-13,19.374801900000005,19.221923400000005,19.527680400000005,0.4484436000000001,0.34603744,0.5612083199999998,21.9978726,16.97445904,27.529413119999997,15% vaccination
pregnant,vaccine15,2024-04-20,14.531101425,14.41644255,14.6457603,0.33633269999999993,0.25952808000000005,0.42090623999999993,22.3342053,17.23398712,27.950319359999998,15% vaccination
pregnant,vaccine15,2024-04-27,19.374801900000005,19.221923400000005,19.527680400000005,0.4484436000000001,0.34603744,0.5612083199999998,22.7826489,17.58002456,28.511527679999997,15% vaccination
pregnant,vaccine15,2024-05-04,14.531101425,14.41644255,14.6457603,0.33633269999999993,0.25952808000000005,0.42090623999999993,23.1189816,17.839552639999997,28.932433919999998,15% vaccination
pregnant,vaccine15,2024-05-11,14.531101425,14.41644255,14.6457603,0.33633269999999993,0.25952808000000005,0.42090623999999993,23.4553143,18.099080719999996,29.35334016,15% vaccination
pregnant,vaccine15,2024-05-18,14.531101425,14.41644255,14.6457603,0.33633269999999993,0.25952808000000005,0.42090623999999993,23.791647,18.358608799999995,29.7742464,15% vaccination
pregnant,vaccine15,2024-05-25,19.374801900000005,19.221923400000005,19.527680400000005,0.4484436000000001,0.34603744,0.5612083199999998,24.240090600000002,18.704646239999995,30.335454719999998,15% vaccination
pregnant,vaccine15,2024-06-01,24.218502375000003,24.027404250000004,24.409600500000003,0.5605545000000001,0.43254679999999995,0.7015103999999999,24.8006451,19.137193039999996,31.036965119999998,15% vaccination
pregnant,vaccine15,2024-06-08,24.218502375000003,24.027404250000004,24.409600500000003,0.5605545000000001,0.43254679999999995,0.7015103999999999,25.3611996,19.569739839999997,31.738475519999998,15% vaccination
pregnant,vaccine15,2024-06-15,29.06220285,28.8328851,29.2915206,0.6726653999999999,0.5190561600000001,0.8418124799999999,26.033865,20.088796,32.580287999999996,15% vaccination
pregnant,vaccine15,2024-06-22,24.218502375000003,24.027404250000004,24.409600500000003,0.5605545000000001,0.43254679999999995,0.7015103999999999,26.594419499999997,20.5213428,33.28179839999999,15% vaccination
pregnant,vaccine15,2024-06-29,38.74960380000001,38.44384680000001,39.05536080000001,0.8968872000000002,0.69207488,1.1224166399999995,27.4913067,21.21341768,34.40421503999999,15% vaccination
pregnant,vaccine15,2024-07-06,50.0238645,49.62914700000001,50.418582,1.1578380000000001,0.8934352000000003,1.4489855999999997,28.6491447,22.106852879999998,35.85320063999999,15% vaccination
pregnant,vaccine15,2024-07-13,50.0238645,49.62914700000001,50.418582,1.1578380000000001,0.8934352000000003,1.4489855999999997,29.806982700000002,23.000288079999997,37.30218623999999,15% vaccination
pregnant,vaccine15,2024-07-20,55.026250950000005,54.59206170000001,55.46044020000001,1.2736218,0.9827787200000002,1.59388416,31.080604500000003,23.983066799999996,38.89607039999999,15% vaccination
pregnant,vaccine15,2024-07-27,70.03341029999999,69.48080579999998,70.58601479999999,1.6209731999999997,1.2508092800000001,2.02857984,32.7015777,25.233876079999995,40.92465023999999,15% vaccination
pregnant,vaccine15,2024-08-03,75.03579675,74.44372050000001,75.627873,1.7367569999999999,1.3401528000000003,2.1734784000000005,34.4383347,26.574028879999993,43.09812863999999,15% vaccination
pregnant,vaccine15,2024-08-10,85.04056965,84.3695499,85.71158939999998,1.9683245999999996,1.5188398399999998,2.46327552,36.4066593,28.09286871999999,45.561404159999995,15% vaccination
pregnant,vaccine15,2024-08-17,70.03341029999999,69.48080579999998,70.58601479999999,1.6209731999999997,1.2508092800000001,2.02857984,38.0276325,29.34367799999999,47.589983999999994,15% vaccination
pregnant,vaccine15,2024-08-24,75.03579675,74.44372050000001,75.627873,1.7367569999999999,1.3401528000000003,2.1734784000000005,39.7643895,30.68383079999999,49.763462399999995,15% vaccination
pregnant,vaccine15,2024-08-31,65.03102385000001,64.51789110000001,65.54415660000001,1.5051894000000001,1.16146576,1.8836812799999998,41.2695789,31.845296559999987,51.64714367999999,15% vaccination
pregnant,vaccine15,2024-09-07,60.02863739999999,59.554976399999994,60.50229839999999,1.3894055999999997,1.0721222400000003,1.7387827199999997,42.658984499999995,32.917418799999986,53.38592639999999,15% vaccination
pregnant,vaccine15,2024-09-14,60.02863739999999,59.554976399999994,60.50229839999999,1.3894055999999997,1.0721222400000003,1.7387827199999997,44.04839009999999,33.989541039999985,55.12470911999999,15% vaccination
pregnant,vaccine15,2024-09-21,50.0238645,49.62914700000001,50.418582,1.1578380000000001,0.8934352000000003,1.4489855999999997,45.20622809999999,34.882976239999984,56.57369471999999,15% vaccination
pregnant,vaccine15,2024-09-28,40.01909160000001,39.70331760000001,40.33486560000001,0.9262704,0.7147481600000001,1.15918848,46.13249849999999,35.59772439999998,57.73288319999999,15% vaccination
pregnant,vaccine15,2024-10-05,36.6035649,36.3147414,36.892388399999994,0.8472156,0.6537462399999999,1.06025472,46.97971409999999,36.25147063999998,58.79313791999999,15% vaccination
pregnant,vaccine15,2024-10-12,36.6035649,36.3147414,36.892388399999994,0.8472156,0.6537462399999999,1.06025472,47.82692969999999,36.905216879999976,59.853392639999996,15% vaccination
pregnant,vaccine15,2024-10-19,20.9163228,20.7512808,21.081364799999996,0.4841232,0.37356928,0.6058598399999998,48.311052899999986,37.278786159999974,60.459252479999996,15% vaccination
pregnant,vaccine15,2024-10-26,31.374484199999994,31.126921199999998,31.622047199999994,0.7261847999999997,0.56035392,0.9087897599999996,49.037237699999984,37.83914007999997,61.368042239999994,15% vaccination
pregnant,vaccine15,2024-11-02,26.145403499999997,25.939101,26.351705999999997,0.6051539999999999,0.4669616,0.7573248,49.64239169999998,38.30610167999997,62.12536703999999,15% vaccination
pregnant,vaccine15,2024-11-09,26.145403499999997,25.939101,26.351705999999997,0.6051539999999999,0.4669616,0.7573248,50.24754569999998,38.77306327999997,62.88269183999999,15% vaccination
pregnant,vaccine15,2024-11-16,20.9163228,20.7512808,21.081364799999996,0.4841232,0.37356928,0.6058598399999998,50.73166889999998,39.146632559999965,63.48855167999999,15% vaccination
pregnant,vaccine15,2024-11-23,26.145403499999997,25.939101,26.351705999999997,0.6051539999999999,0.4669616,0.7573248,51.33682289999998,39.61359415999996,64.24587647999999,15% vaccination
pregnant,vaccine15,2024-11-30,20.9163228,20.7512808,21.081364799999996,0.4841232,0.37356928,0.6058598399999998,51.82094609999998,39.98716343999996,64.85173631999999,15% vaccination
pregnant,vaccine15,2024-12-07,31.374484199999994,31.126921199999998,31.622047199999994,0.7261847999999997,0.56035392,0.9087897599999996,52.54713089999998,40.54751735999996,65.76052607999999,15% vaccination
pregnant,vaccine15,2024-12-14,31.374484199999994,31.126921199999998,31.622047199999994,0.7261847999999997,0.56035392,0.9087897599999996,53.273315699999976,41.107871279999955,66.66931584,15% vaccination
pregnant,vaccine15,2024-12-21,36.6035649,36.3147414,36.892388399999994,0.8472156,0.6537462399999999,1.06025472,54.120531299999975,41.76161751999995,67.72957056,15% vaccination
pregnant,vaccine15,2024-12-28,47.0617263,46.690381800000004,47.433070799999996,1.0892772,0.8405308800000001,1.3631846399999998,55.20980849999997,42.602148399999955,69.0927552,15% vaccination
pregnant,vaccine15,2025-01-04,50.9306415,50.528769000000004,51.332513999999996,1.178826,0.9096304000000001,1.4752512,56.388634499999974,43.51177879999995,70.5680064,15% vaccination
pregnant,vaccine15,2025-01-11,40.7445132,40.4230152,41.0660112,0.9430607999999999,0.7277043200000002,1.1802009599999999,57.33169529999997,44.23948311999995,71.74820736,15% vaccination
pregnant,vaccine15,2025-01-18,45.837577350000004,45.47589210000001,46.199262600000004,1.0609434,0.8186673600000001,1.32772608,58.39263869999997,45.05815047999995,73.07593344,15% vaccination
pregnant,vaccine15,2025-01-25,40.7445132,40.4230152,41.0660112,0.9430607999999999,0.7277043200000002,1.1802009599999999,59.33569949999997,45.78585479999995,74.2561344,15% vaccination
pregnant,vaccine15,2025-02-01,50.9306415,50.528769000000004,51.332513999999996,1.178826,0.9096304000000001,1.4752512,60.51452549999997,46.69548519999995,75.7313856,15% vaccination
pregnant,vaccine15,2025-02-08,45.837577350000004,45.47589210000001,46.199262600000004,1.0609434,0.8186673600000001,1.32772608,61.57546889999997,47.51415255999995,77.05911168,15% vaccination
pregnant,vaccine15,2025-02-15,35.65144905,35.3701383,35.9327598,0.8251781999999999,0.63674128,1.03267584,62.40064709999997,48.15089383999995,78.09178752,15% vaccination
pregnant,vaccine15,2025-02-22,40.7445132,40.4230152,41.0660112,0.9430607999999999,0.7277043200000002,1.1802009599999999,63.34370789999997,48.87859815999995,79.27198847999999,15% vaccination
pregnant,vaccine15,2025-03-01,30.5583849,30.3172614,30.799508399999997,0.7072956,0.54577824,0.8851507200000001,64.05100349999996,49.42437639999995,80.15713919999999,15% vaccination
pregnant,vaccine15,2025-03-08,30.5583849,30.3172614,30.799508399999997,0.7072956,0.54577824,0.8851507200000001,64.75829909999996,49.97015463999995,81.04228991999999,15% vaccination
pregnant,vaccine15,2025-03-15,25.46532075,25.264384500000002,25.666256999999998,0.589413,0.45481520000000003,0.7376256,65.34771209999995,50.424969839999946,81.77991551999999,15% vaccination
pregnant,vaccine15,2025-03-22,25.46532075,25.264384500000002,25.666256999999998,0.589413,0.45481520000000003,0.7376256,65.93712509999995,50.879785039999945,82.51754111999999,15% vaccination
pregnant,vaccine15,2025-03-29,30.5583849,30.3172614,30.799508399999997,0.7072956,0.54577824,0.8851507200000001,66.64442069999994,51.42556327999994,83.40269183999999,15% vaccination
pregnant,vaccine15,2025-04-05,19.374801900000005,19.221923400000005,19.527680400000005,0.4484436000000001,0.34603744,0.5612083199999998,67.09286429999995,51.771600719999945,83.96390016,15% vaccination
pregnant,vaccine15,2025-04-12,19.374801900000005,19.221923400000005,19.527680400000005,0.4484436000000001,0.34603744,0.5612083199999998,67.54130789999995,52.11763815999995,84.52510848,15% vaccination
pregnant,vaccine15,2025-04-19,19.374801900000005,19.221923400000005,19.527680400000005,0.4484436000000001,0.34603744,0.5612083199999998,67.98975149999995,52.46367559999995,85.0863168,15% vaccination
pregnant,vaccine15,2025-04-26,14.531101425,14.41644255,14.6457603,0.33633269999999993,0.25952808000000005,0.42090623999999993,68.32608419999995,52.723203679999955,85.50722304,15% vaccination
pregnant,vaccine50,2024-01-06,102.90615149999999,99.825129,105.987174,9.037666,6.973833066666668,11.3102592,9.037666,6.973833066666668,11.3102592,50% vaccination
pregnant,vaccine50,2024-01-13,107.380332,104.165352,110.59531199999999,9.430608,7.2770432000000005,11.802009600000002,18.468274,14.250876266666669,23.112268800000002,50% vaccination
pregnant,vaccine50,2024-01-20,89.48361,86.80446,92.16275999999999,7.858840000000001,6.0642026666666675,9.835007999999998,26.327114,20.315078933333336,32.9472768,50% vaccination
pregnant,vaccine50,2024-01-27,76.0610685,73.78379100000001,78.33834600000002,6.680014000000001,5.154572266666668,8.359756800000001,33.007128,25.469651200000005,41.3070336,50% vaccination
pregnant,vaccine50,2024-02-03,76.0610685,73.78379100000001,78.33834600000002,6.680014000000001,5.154572266666668,8.359756800000001,39.687142,30.624223466666674,49.666790399999996,50% vaccination
pregnant,vaccine50,2024-02-10,67.11270750000001,65.10334500000002,69.12207000000001,5.8941300000000005,4.548152000000001,7.376255999999999,45.581272,35.17237546666667,57.043046399999994,50% vaccination
pregnant,vaccine50,2024-02-17,53.690166,52.082676,55.297655999999996,4.715304,3.6385216000000002,5.901004800000001,50.296576,38.81089706666667,62.9440512,50% vaccination
pregnant,vaccine50,2024-02-24,62.638526999999996,60.763122,64.513932,5.501188,4.244941866666666,6.8845056,55.797764,43.055838933333334,69.8285568,50% vaccination
pregnant,vaccine50,2024-03-02,53.690166,52.082676,55.297655999999996,4.715304,3.6385216000000002,5.901004800000001,60.513068000000004,46.69436053333333,75.7295616,50% vaccination
pregnant,vaccine50,2024-03-09,31.319263499999998,30.381561,32.256966,2.750594,2.122470933333333,3.4422528,63.263662000000004,48.81683146666666,79.1718144,50% vaccination
pregnant,vaccine50,2024-03-16,31.319263499999998,30.381561,32.256966,2.750594,2.122470933333333,3.4422528,66.014256,50.939302399999995,82.61406720000001,50% vaccination
pregnant,vaccine50,2024-03-23,26.845083,26.041338,27.648827999999998,2.357652,1.8192608000000001,2.9505024000000004,68.371908,52.7585632,85.56456960000001,50% vaccination
pregnant,vaccine50,2024-03-30,22.3709025,21.701115,23.040689999999998,1.9647100000000002,1.5160506666666669,2.4587519999999996,70.336618,54.27461386666666,88.02332160000002,50% vaccination
pregnant,vaccine50,2024-04-06,17.020473000000003,16.510878000000005,17.530068000000004,1.4948120000000003,1.1534581333333334,1.8706943999999996,71.83143,55.42807199999999,89.89401600000002,50% vaccination
pregnant,vaccine50,2024-04-13,17.020473000000003,16.510878000000005,17.530068000000004,1.4948120000000003,1.1534581333333334,1.8706943999999996,73.326242,56.581530133333324,91.76471040000003,50% vaccination
pregnant,vaccine50,2024-04-20,12.765354749999998,12.3831585,13.147550999999998,1.121109,0.8650936000000001,1.4030207999999997,74.447351,57.446623733333325,93.16773120000002,50% vaccination
pregnant,vaccine50,2024-04-27,17.020473000000003,16.510878000000005,17.530068000000004,1.4948120000000003,1.1534581333333334,1.8706943999999996,75.942163,58.600081866666656,95.03842560000002,50% vaccination
pregnant,vaccine50,2024-05-04,12.765354749999998,12.3831585,13.147550999999998,1.121109,0.8650936000000001,1.4030207999999997,77.063272,59.46517546666666,96.44144640000002,50% vaccination
pregnant,vaccine50,2024-05-11,12.765354749999998,12.3831585,13.147550999999998,1.121109,0.8650936000000001,1.4030207999999997,78.184381,60.33026906666666,97.84446720000001,50% vaccination
pregnant,vaccine50,2024-05-18,12.765354749999998,12.3831585,13.147550999999998,1.121109,0.8650936000000001,1.4030207999999997,79.30549,61.19536266666666,99.247488,50% vaccination
pregnant,vaccine50,2024-05-25,17.020473000000003,16.510878000000005,17.530068000000004,1.4948120000000003,1.1534581333333334,1.8706943999999996,80.800302,62.34882079999999,101.11818240000001,50% vaccination
pregnant,vaccine50,2024-06-01,21.27559125,20.638597500000003,21.912585000000004,1.8685150000000001,1.4418226666666667,2.3383679999999996,82.668817,63.79064346666666,103.45655040000001,50% vaccination
pregnant,vaccine50,2024-06-08,21.27559125,20.638597500000003,21.912585000000004,1.8685150000000001,1.4418226666666667,2.3383679999999996,84.537332,65.23246613333332,105.79491840000001,50% vaccination
pregnant,vaccine50,2024-06-15,25.530709499999997,24.766317,26.295101999999996,2.242218,1.7301872000000003,2.8060415999999995,86.77955,66.96265333333332,108.60096000000001,50% vaccination
pregnant,vaccine50,2024-06-22,21.27559125,20.638597500000003,21.912585000000004,1.8685150000000001,1.4418226666666667,2.3383679999999996,88.648065,68.40447599999999,110.93932800000002,50% vaccination
pregnant,vaccine50,2024-06-29,34.040946000000005,33.02175600000001,35.06013600000001,2.9896240000000005,2.3069162666666667,3.7413887999999993,91.63768900000001,70.71139226666665,114.68071680000001,50% vaccination
pregnant,vaccine50,2024-07-06,43.945215000000005,42.629490000000004,45.260940000000005,3.859460000000001,2.9781173333333344,4.829952,95.49714900000001,73.68950959999998,119.51066880000002,50% vaccination
pregnant,vaccine50,2024-07-13,43.945215000000005,42.629490000000004,45.260940000000005,3.859460000000001,2.9781173333333344,4.829952,99.356609,76.66762693333331,124.34062080000002,50% vaccination
pregnant,vaccine50,2024-07-20,48.3397365,46.89243900000001,49.787034000000006,4.245406,3.2759290666666674,5.3129472,103.60201500000001,79.94355599999997,129.65356800000004,50% vaccination
pregnant,vaccine50,2024-07-27,61.52330099999998,59.68128599999999,63.365315999999986,5.403243999999999,4.169364266666667,6.761932799999999,109.00525900000001,84.11292026666663,136.41550080000005,50% vaccination
pregnant,vaccine50,2024-08-03,65.9178225,63.944235000000006,67.89141,5.78919,4.467176000000001,7.244928,114.79444900000001,88.58009626666663,143.66042880000003,50% vaccination
pregnant,vaccine50,2024-08-10,74.70686549999999,72.47013299999999,76.943598,6.561081999999999,5.062799466666666,8.210918399999999,121.35553100000001,93.64289573333329,151.87134720000003,50% vaccination
pregnant,vaccine50,2024-08-17,61.52330099999998,59.68128599999999,63.365315999999986,5.403243999999999,4.169364266666667,6.761932799999999,126.75877500000001,97.81225999999995,158.63328000000004,50% vaccination
pregnant,vaccine50,2024-08-24,65.9178225,63.944235000000006,67.89141,5.78919,4.467176000000001,7.244928,132.547965,102.27943599999995,165.87820800000003,50% vaccination
pregnant,vaccine50,2024-08-31,57.12877950000001,55.418337000000015,58.83922200000001,5.017298,3.8715525333333334,6.278937599999999,137.56526300000002,106.15098853333328,172.15714560000004,50% vaccination
pregnant,vaccine50,2024-09-07,52.73425799999999,51.155387999999995,54.31312799999999,4.631351999999999,3.5737408000000013,5.795942399999999,142.196615,109.72472933333327,177.95308800000004,50% vaccination
pregnant,vaccine50,2024-09-14,52.73425799999999,51.155387999999995,54.31312799999999,4.631351999999999,3.5737408000000013,5.795942399999999,146.827967,113.29847013333327,183.74903040000004,50% vaccination
pregnant,vaccine50,2024-09-21,43.945215000000005,42.629490000000004,45.260940000000005,3.859460000000001,2.9781173333333344,4.829952,150.687427,116.2765874666666,188.57898240000003,50% vaccination
pregnant,vaccine50,2024-09-28,35.156172000000005,34.103592000000006,36.208752000000004,3.0875680000000005,2.382493866666667,3.8639616000000006,153.77499500000002,118.65908133333326,192.44294400000004,50% vaccination
pregnant,vaccine50,2024-10-05,32.155682999999996,31.192938,33.118428,2.824052,2.179154133333333,3.5341823999999997,156.599047,120.83823546666659,195.97712640000003,50% vaccination
pregnant,vaccine50,2024-10-12,32.155682999999996,31.192938,33.118428,2.824052,2.179154133333333,3.5341823999999997,159.423099,123.01738959999992,199.51130880000002,50% vaccination
pregnant,vaccine50,2024-10-19,18.374675999999997,17.824536,18.924815999999996,1.6137439999999998,1.2452309333333336,2.0195327999999995,161.036843,124.26262053333325,201.53084160000003,50% vaccination
pregnant,vaccine50,2024-10-26,27.562013999999994,26.736803999999996,28.387223999999996,2.4206159999999994,1.8678464,3.0292991999999987,163.457459,126.13046693333325,204.56014080000003,50% vaccination
pregnant,vaccine50,2024-11-02,22.968344999999996,22.28067,23.656019999999998,2.0171799999999998,1.5565386666666665,2.524416,165.474639,127.68700559999992,207.08455680000003,50% vaccination
pregnant,vaccine50,2024-11-09,22.968344999999996,22.28067,23.656019999999998,2.0171799999999998,1.5565386666666665,2.524416,167.491819,129.2435442666666,209.60897280000003,50% vaccination
pregnant,vaccine50,2024-11-16,18.374675999999997,17.824536,18.924815999999996,1.6137439999999998,1.2452309333333336,2.0195327999999995,169.105563,130.48877519999994,211.62850560000004,50% vaccination
pregnant,vaccine50,2024-11-23,22.968344999999996,22.28067,23.656019999999998,2.0171799999999998,1.5565386666666665,2.524416,171.12274299999999,132.0453138666666,214.15292160000004,50% vaccination
pregnant,vaccine50,2024-11-30,18.374675999999997,17.824536,18.924815999999996,1.6137439999999998,1.2452309333333336,2.0195327999999995,172.73648699999998,133.29054479999994,216.17245440000005,50% vaccination
pregnant,vaccine50,2024-12-07,27.562013999999994,26.736803999999996,28.387223999999996,2.4206159999999994,1.8678464,3.0292991999999987,175.15710299999998,135.15839119999993,219.20175360000005,50% vaccination
pregnant,vaccine50,2024-12-14,27.562013999999994,26.736803999999996,28.387223999999996,2.4206159999999994,1.8678464,3.0292991999999987,177.57771899999997,137.02623759999992,222.23105280000004,50% vaccination
pregnant,vaccine50,2024-12-21,32.155682999999996,31.192938,33.118428,2.824052,2.179154133333333,3.5341823999999997,180.40177099999997,139.20539173333324,225.76523520000003,50% vaccination
pregnant,vaccine50,2024-12-28,41.343021,40.105206,42.580836,3.6309240000000003,2.8017696000000005,4.5439488,184.03269499999996,142.00716133333324,230.30918400000004,50% vaccination
pregnant,vaccine50,2025-01-04,44.741805,43.40223,46.081379999999996,3.9294200000000004,3.0321013333333338,4.917503999999999,187.96211499999995,145.0392626666666,235.22668800000005,50% vaccination
pregnant,vaccine50,2025-01-11,35.793444,34.721784,36.865103999999995,3.143536,2.4256810666666673,3.9340032,191.10565099999997,147.46494373333326,239.16069120000006,50% vaccination
pregnant,vaccine50,2025-01-18,40.267624500000004,39.06200700000001,41.473242000000006,3.5364780000000002,2.7288912,4.425753600000001,194.64212899999995,150.19383493333325,243.58644480000007,50% vaccination
pregnant,vaccine50,2025-01-25,35.793444,34.721784,36.865103999999995,3.143536,2.4256810666666673,3.9340032,197.78566499999997,152.61951599999992,247.52044800000007,50% vaccination
pregnant,vaccine50,2025-02-01,44.741805,43.40223,46.081379999999996,3.9294200000000004,3.0321013333333338,4.917503999999999,201.71508499999996,155.65161733333326,252.43795200000008,50% vaccination
pregnant,vaccine50,2025-02-08,40.267624500000004,39.06200700000001,41.473242000000006,3.5364780000000002,2.7288912,4.425753600000001,205.25156299999995,158.38050853333326,256.86370560000006,50% vaccination
pregnant,vaccine50,2025-02-15,31.319263499999998,30.381561,32.256966,2.750594,2.122470933333333,3.4422528,208.00215699999995,160.5029794666666,260.30595840000007,50% vaccination
pregnant,vaccine50,2025-02-22,35.793444,34.721784,36.865103999999995,3.143536,2.4256810666666673,3.9340032,211.14569299999997,162.92866053333327,264.2399616000001,50% vaccination
pregnant,vaccine50,2025-03-01,26.845083,26.041338,27.648827999999998,2.357652,1.8192608000000001,2.9505024000000004,213.50334499999997,164.74792133333327,267.1904640000001,50% vaccination
pregnant,vaccine50,2025-03-08,26.845083,26.041338,27.648827999999998,2.357652,1.8192608000000001,2.9505024000000004,215.86099699999997,166.56718213333326,270.1409664000001,50% vaccination
pregnant,vaccine50,2025-03-15,22.3709025,21.701115,23.040689999999998,1.9647100000000002,1.5160506666666669,2.4587519999999996,217.82570699999997,168.08323279999993,272.5997184000001,50% vaccination
pregnant,vaccine50,2025-03-22,22.3709025,21.701115,23.040689999999998,1.9647100000000002,1.5160506666666669,2.4587519999999996,219.79041699999996,169.5992834666666,275.0584704000001,50% vaccination
pregnant,vaccine50,2025-03-29,26.845083,26.041338,27.648827999999998,2.357652,1.8192608000000001,2.9505024000000004,222.14806899999996,171.4185442666666,278.0089728000001,50% vaccination
pregnant,vaccine50,2025-04-05,17.020473000000003,16.510878000000005,17.530068000000004,1.4948120000000003,1.1534581333333334,1.8706943999999996,223.64288099999996,172.57200239999995,279.8796672000001,50% vaccination
pregnant,vaccine50,2025-04-12,17.020473000000003,16.510878000000005,17.530068000000004,1.4948120000000003,1.1534581333333334,1.8706943999999996,225.13769299999996,173.7254605333333,281.7503616000001,50% vaccination
pregnant,vaccine50,2025-04-19,17.020473000000003,16.510878000000005,17.530068000000004,1.4948120000000003,1.1534581333333334,1.8706943999999996,226.63250499999995,174.87891866666664,283.62105600000007,50% vaccination
pregnant,vaccine50,2025-04-26,12.765354749999998,12.3831585,13.147550999999998,1.121109,0.8650936000000001,1.4030207999999997,227.75361399999994,175.74401226666663,285.02407680000005,50% vaccination
